,Date,Forecast
0,2025-01-01,3621.2557568359375
1,2025-01-02,3623.6931225585936
2,2025-01-03,3625.098671875
3,2025-01-04,3625.098671875
4,2025-01-05,3625.1583935546873
5,2025-01-06,3622.6559204101563
6,2025-01-07,3622.6559204101563
7,2025-01-08,3622.6559204101563
8,2025-01-09,3622.6559204101563
9,2025-01-10,3622.6559204101563
10,2025-01-11,3623.0392211914063
11,2025-01-12,3623.0392211914063
12,2025-01-13,3623.0392211914063
13,2025-01-14,3623.0392211914063
14,2025-01-15,3623.0392211914063
15,2025-01-16,3625.18947265625
16,2025-01-17,3625.422607421875
17,2025-01-18,3623.0811962890625
18,2025-01-19,3623.0392211914063
19,2025-01-20,3623.0392211914063
