,Date,Forecast
0,2025-01-01,1150.9124377441406
1,2025-01-02,1144.4428369140626
2,2025-01-03,1148.3899682617186
3,2025-01-04,1148.190223388672
4,2025-01-05,1151.286435546875
5,2025-01-06,1151.3442346191407
6,2025-01-07,1151.3818286132812
7,2025-01-08,1151.3818286132812
8,2025-01-09,1151.3818286132812
9,2025-01-10,1151.3818286132812
10,2025-01-11,1151.3818286132812
11,2025-01-12,1151.3818286132812
12,2025-01-13,1151.3818286132812
13,2025-01-14,1151.3818286132812
14,2025-01-15,1151.3818286132812
15,2025-01-16,1151.3818286132812
16,2025-01-17,1153.7514990234374
17,2025-01-18,1153.7514990234374
18,2025-01-19,1153.7514990234374
19,2025-01-20,1153.7514990234374
20,2025-01-21,1153.7514990234374
21,2025-01-22,1153.7514990234374
22,2025-01-23,1153.7514990234374
23,2025-01-24,1153.7514990234374
24,2025-01-25,1153.7514990234374
25,2025-01-26,1153.7514990234374
26,2025-01-27,1153.7514990234374
27,2025-01-28,1153.7514990234374
28,2025-01-29,1153.7514990234374
29,2025-01-30,1153.7514990234374
30,2025-01-31,1153.7514990234374
31,2025-02-01,1153.7514990234374
32,2025-02-02,1153.7514990234374
33,2025-02-03,1153.7514990234374
34,2025-02-04,1153.7514990234374
35,2025-02-05,1153.7514990234374
36,2025-02-06,1153.7514990234374
37,2025-02-07,1153.7514990234374
38,2025-02-08,1153.7514990234374
39,2025-02-09,1153.7514990234374
40,2025-02-10,1153.7514990234374
41,2025-02-11,1153.7514990234374
42,2025-02-12,1153.7514990234374
43,2025-02-13,1153.7514990234374
44,2025-02-14,1153.7514990234374
45,2025-02-15,1153.7514990234374
46,2025-02-16,1153.7514990234374
47,2025-02-17,1153.7514990234374
48,2025-02-18,1153.7514990234374
49,2025-02-19,1153.7514990234374
