,Date,Forecast
0,2025-01-01,1880.0586726537092
1,2025-01-02,1877.0297002435395
2,2025-01-03,1871.778876567208
3,2025-01-04,1870.4558919517985
4,2025-01-05,1869.1199056642804
5,2025-01-06,1868.7213687457966
6,2025-01-07,1868.771874485129
7,2025-01-08,1868.884368779425
8,2025-01-09,1869.1777338245568
9,2025-01-10,1869.1747437307845
10,2025-01-11,1869.1679805864203
11,2025-01-12,1869.0485563810207
12,2025-01-13,1868.9895646089258
13,2025-01-14,1868.416283656059
14,2025-01-15,1868.2463394146164
15,2025-01-16,1868.0701671465001
16,2025-01-17,1867.9909602846885
17,2025-01-18,1868.0187815101292
18,2025-01-19,1868.0571937593966
19,2025-01-20,1868.1749330246028
20,2025-01-21,1868.304159352759
21,2025-01-22,1868.3787227239677
22,2025-01-23,1868.4086136211836
23,2025-01-24,1868.3270050803062
24,2025-01-25,1868.2912146390615
25,2025-01-26,1868.2529839762049
26,2025-01-27,1868.243990713659
27,2025-01-28,1868.249216235697
28,2025-01-29,1868.389640951922
29,2025-01-30,1868.5697260915115
30,2025-01-31,1868.8114741516506
31,2025-02-01,1869.0103372784477
32,2025-02-02,1869.1268679025206
33,2025-02-03,1869.2000938934375
34,2025-02-04,1869.2290035963526
35,2025-02-05,1869.2359527759772
36,2025-02-06,1869.2363019172228
37,2025-02-07,1869.2366906187806
38,2025-02-08,1869.2998830022636
39,2025-02-09,1869.3525235242405
40,2025-02-10,1869.4174996404683
41,2025-02-11,1869.4174996404683
42,2025-02-12,1869.4174996404683
43,2025-02-13,1869.4174996404683
44,2025-02-14,1869.4174996404683
45,2025-02-15,1869.4174996404683
46,2025-02-16,1869.4174996404683
47,2025-02-17,1869.4174996404683
48,2025-02-18,1869.4174996404683
49,2025-02-19,1869.4174996404683
