,Date,Forecast
0,2025-01-01,4055.586744179789
1,2025-01-02,4047.9873758961958
2,2025-01-03,4044.428602928824
3,2025-01-04,4045.6438782361997
4,2025-01-05,4044.912919716136
5,2025-01-06,4044.984526844401
6,2025-01-07,4044.329462018025
7,2025-01-08,4043.5703249013955
8,2025-01-09,4043.112563889736
9,2025-01-10,4042.484019975374
10,2025-01-11,4041.5315462018702
11,2025-01-12,4041.1376625097087
12,2025-01-13,4040.9087994947326
13,2025-01-14,4040.8574002433875
14,2025-01-15,4041.959878719143
15,2025-01-16,4041.484224699653
16,2025-01-17,4041.854780123755
17,2025-01-18,4042.52550630732
18,2025-01-19,4042.5272776795923
19,2025-01-20,4042.822563678859
20,2025-01-21,4043.0249104728514
21,2025-01-22,4043.3691046553045
22,2025-01-23,4043.934074168717
23,2025-01-24,4044.5671317037913
24,2025-01-25,4045.347473808254
25,2025-01-26,4046.3801657405197
26,2025-01-27,4047.193782600345
27,2025-01-28,4047.79937901029
28,2025-01-29,4048.1650620794017
29,2025-01-30,4048.3258073101815
30,2025-01-31,4048.3258073101815
31,2025-02-01,4048.3258073101815
32,2025-02-02,4048.3258073101815
33,2025-02-03,4048.3258073101815
34,2025-02-04,4048.3258073101815
35,2025-02-05,4048.3258073101815
36,2025-02-06,4048.3258073101815
37,2025-02-07,4048.3258073101815
38,2025-02-08,4048.3258073101815
39,2025-02-09,4048.3258073101815
40,2025-02-10,4048.3258073101815
41,2025-02-11,4048.3258073101815
42,2025-02-12,4048.3258073101815
43,2025-02-13,4048.3258073101815
44,2025-02-14,4048.3258073101815
45,2025-02-15,4048.3258073101815
46,2025-02-16,4048.3258073101815
47,2025-02-17,4048.3258073101815
48,2025-02-18,4048.3258073101815
49,2025-02-19,4048.3258073101815
