,Date,Forecast
0,2025-01-01,4101.829894845112
1,2025-01-02,4113.059614784017
2,2025-01-03,4115.2513606312295
3,2025-01-04,4126.246355191636
4,2025-01-05,4119.7056388498995
5,2025-01-06,4116.284879186505
6,2025-01-07,4112.165384473514
7,2025-01-08,4107.999389193181
8,2025-01-09,4109.507191641974
9,2025-01-10,4111.111629729448
10,2025-01-11,4112.017199846234
11,2025-01-12,4114.475587886706
12,2025-01-13,4115.9792428773335
13,2025-01-14,4117.256793758629
14,2025-01-15,4123.103567920246
15,2025-01-16,4123.374760203095
16,2025-01-17,4123.185820756771
17,2025-01-18,4123.140288899791
18,2025-01-19,4119.982591479609
19,2025-01-20,4119.7821023721535
20,2025-01-21,4120.765146159865
21,2025-01-22,4123.526916401686
22,2025-01-23,4128.9368237958815
23,2025-01-24,4132.884608876988
24,2025-01-25,4136.1584991439195
25,2025-01-26,4138.492645508951
26,2025-01-27,4139.513944379722
27,2025-01-28,4140.099946460585
28,2025-01-29,4140.419131859835
29,2025-01-30,4140.329867386845
30,2025-01-31,4140.6161548699365
31,2025-02-01,4141.238670689801
32,2025-02-02,4141.939878259665
33,2025-02-03,4144.847094806159
34,2025-02-04,4146.7444024988545
35,2025-02-05,4148.26966245734
36,2025-02-06,4149.491492218586
37,2025-02-07,4149.97181437956
38,2025-02-08,4150.266007048773
39,2025-02-09,4150.430494148248
40,2025-02-10,4150.541869375865
41,2025-02-11,4150.750950961517
42,2025-02-12,4150.99839740879
43,2025-02-13,4151.2426000816895
44,2025-02-14,4151.2426000816895
45,2025-02-15,4151.2426000816895
46,2025-02-16,4151.2426000816895
47,2025-02-17,4151.2426000816895
48,2025-02-18,4151.2426000816895
49,2025-02-19,4151.2426000816895
