,Date,Forecast
0,2025-01-01,1864.4259482728514
1,2025-01-02,1855.2076753266108
2,2025-01-03,1836.231191069474
3,2025-01-04,1827.0879930485517
4,2025-01-05,1822.5568921114873
5,2025-01-06,1819.2358811300603
6,2025-01-07,1819.6561710572562
7,2025-01-08,1819.5151770568243
8,2025-01-09,1819.3312072785034
9,2025-01-10,1817.6481275004046
10,2025-01-11,1814.7944244220876
11,2025-01-12,1811.6994853139236
12,2025-01-13,1808.773179170903
13,2025-01-14,1804.5510868908648
14,2025-01-15,1802.3673316825996
15,2025-01-16,1800.8214230400968
16,2025-01-17,1799.9054550155593
17,2025-01-18,1799.6576794512869
18,2025-01-19,1799.2544621889897
19,2025-01-20,1798.815295094662
20,2025-01-21,1798.2451702818494
21,2025-01-22,1797.4028863710644
22,2025-01-23,1796.700367750736
23,2025-01-24,1796.075916897409
24,2025-01-25,1795.648439322548
25,2025-01-26,1795.4280870994571
26,2025-01-27,1795.3235811951165
27,2025-01-28,1795.3118168910999
28,2025-01-29,1795.318699925106
29,2025-01-30,1795.324056167125
30,2025-01-31,1795.3249977457735
31,2025-02-01,1795.3170476029072
32,2025-02-02,1795.3240121925448
33,2025-02-03,1795.368297969755
34,2025-02-04,1795.5260048374898
35,2025-02-05,1796.0279611591384
36,2025-02-06,1797.6390197396945
37,2025-02-07,1801.0964841519788
38,2025-02-08,1804.8711497952781
39,2025-02-09,1807.9853725112932
40,2025-02-10,1810.2910101998923
41,2025-02-11,1811.5729022047224
42,2025-02-12,1812.1184009304586
43,2025-02-13,1812.3100968236183
44,2025-02-14,1812.418103733006
45,2025-02-15,1812.6869120189822
46,2025-02-16,1812.6869120189822
47,2025-02-17,1812.6869120189822
48,2025-02-18,1812.6869120189822
49,2025-02-19,1812.6869120189822
