Date,LSTM_Forecast
2025-01-01,461.64103313500897
2025-01-02,462.41470038691483
2025-01-03,463.0911349927538
2025-01-04,463.6904898255926
2025-01-05,464.22936396598567
2025-01-06,464.7215531923194
2025-01-07,465.17718912424067
2025-01-08,465.60364422571917
2025-01-09,466.0063043686369
2025-01-10,466.38887785822413
2025-01-11,466.75416799664896
2025-01-12,467.1042938154715
2025-01-13,467.44051348968065
2025-01-14,467.7637099490931
2025-01-15,468.0746116108076
2025-01-16,468.3740572581501
2025-01-17,468.66233384331105
2025-01-18,468.9398166114625
2025-01-19,469.2070132472491
2025-01-20,469.46392375067086
2025-01-21,469.7112323923357
2025-01-22,469.9492261244341
2025-01-23,470.17814775266567
2025-01-24,470.3983283757116
2025-01-25,470.6101211654987
2025-01-26,470.8134599022906
2025-01-27,471.0089405637137
2025-01-28,471.1969604681854
2025-01-29,471.3776520551783
2025-01-30,471.55132435012825
