Date,LSTM_Forecast
2025-01-01,3388.241868615121
2025-01-02,3381.7108451564122
2025-01-03,3379.3324713627076
2025-01-04,3379.6311373755448
2025-01-05,3381.630620952317
2025-01-06,3384.6913837591705
2025-01-07,3388.376219993064
2025-01-08,3392.405472589118
2025-01-09,3396.6012951189764
2025-01-10,3400.844156740393
2025-01-11,3405.068975970527
2025-01-12,3409.2438564390754
2025-01-13,3413.34753389917
2025-01-14,3417.3687318562584
2025-01-15,3421.308416867017
2025-01-16,3425.1669111170045
2025-01-17,3428.9442146062206
2025-01-18,3432.6419382624586
2025-01-19,3436.262981755746
2025-01-20,3439.8025123027032
2025-01-21,3443.272128583441
2025-01-22,3446.6689309279313
2025-01-23,3449.9919527794987
2025-01-24,3453.245382550405
2025-01-25,3456.426642756181
2025-01-26,3459.5347668401514
2025-01-27,3462.5774872557226
2025-01-28,3465.5531930751017
2025-01-29,3468.4618842982886
2025-01-30,3471.3067827808695
