Date,Forecast
2025-06-25,303.5388974095739
2025-06-26,303.01914354562297
2025-06-27,302.35226538671725
2025-06-28,301.06809108059053
2025-06-29,300.1718148805109
2025-06-30,300.01792180924724
2025-07-01,300.63307133564683
2025-07-02,301.7699898197923
2025-07-03,302.7216785630091
2025-07-04,303.71614485875875
2025-07-05,304.3333067481221
2025-07-06,304.7817403286424
2025-07-07,304.6754430965297
2025-07-08,304.57874278695533
2025-07-09,304.1209435034748
2025-07-10,303.4643671390963
2025-07-11,303.16035802718903
2025-07-12,303.19285644094714
2025-07-13,303.6144456420818
2025-07-14,304.2677076967499
2025-07-15,304.771672900591
2025-07-16,304.9827610100989
2025-07-17,304.8996107382041
2025-07-18,304.5805585868747
2025-07-19,304.00748185337983
2025-07-20,303.28495650889874
2025-07-21,302.55543618090314
2025-07-22,302.069659193062
2025-07-23,301.8119380444917
2025-07-24,301.75552522577175
