Model,Samples,RMSE,MAE,R²
elasticnet,21,31.43,28.03,0.8131
lasso_regression,21,14.64,11.53,0.9594
linear_regression,21,11.0,9.52,0.9771
random_forest,21,128.34,118.31,-2.1154
ridge_regression,21,14.05,11.56,0.9627
svr,21,14.34,11.58,0.9611
xgboost,21,67.56,65.05,0.1368
