Date,Forecast
2025-05-24,3488.6460877200907
2025-05-25,3486.1864030212896
2025-05-26,3485.908112965914
2025-05-27,3484.440561884362
2025-05-28,3483.0297768489163
2025-05-29,3481.1105846330197
2025-05-30,3479.9355006990545
2025-05-31,3478.762546685108
2025-06-01,3477.5196828042353
2025-06-02,3476.586700381932
2025-06-03,3476.1073989033443
2025-06-04,3475.884932015915
2025-06-05,3475.330859088829
2025-06-06,3475.900981573407
2025-06-07,3474.946234222826
2025-06-08,3473.4679920893536
2025-06-09,3472.2704322037443
2025-06-10,3471.219204573614
2025-06-11,3470.35067538791
2025-06-12,3469.65271299691
