Model,Samples,RMSE,MAE,R²
elasticnet,21,10.64,9.35,0.6906
lasso_regression,21,5.68,4.33,0.9119
linear_regression,21,4.67,3.77,0.9403
random_forest,21,388.88,388.48,-412.3936
ridge_regression,21,5.24,4.51,0.9248
svr,21,5.22,4.41,0.9256
xgboost,21,397.97,397.61,-431.9337
