Date,Forecasted_Close
2025-01-01,1061.3302956186672
2025-01-02,1057.2358965727335
2025-01-03,1054.6925523572163
2025-01-04,1052.4641334476776
2025-01-05,1051.0418968009253
2025-01-06,1050.2563312832888
2025-01-07,1049.6011109603123
2025-01-08,1049.1083203072685
2025-01-09,1049.3846993405873
2025-01-10,1047.4248683769147
2025-01-11,1046.3108088169213
2025-01-12,1045.3914169239324
2025-01-13,1044.352963923255
2025-01-14,1043.957584780981
2025-01-15,1043.7362340729574
2025-01-16,1043.6559081984137
2025-01-17,1043.71835571178
2025-01-18,1043.8176033985478
2025-01-19,1044.0070126330352
2025-01-20,1044.3422695467732
2025-01-21,1044.953728755741
2025-01-22,1046.051877921658
2025-01-23,1047.7881306882455
2025-01-24,1049.7528349756462
2025-01-25,1052.85539954476
2025-01-26,1056.0880980488332
2025-01-27,1058.9219804352663
2025-01-28,1061.409413568021
2025-01-29,1063.0610777889917
2025-01-30,1064.1842697765383
2025-01-30,1064.1842697765383
2025-01-30,1064.1842697765383
2025-01-30,1064.1842697765383
2025-01-30,1064.1842697765383
