Model,Samples,RMSE,MAE,R²
elasticnet,22,1.42,1.12,0.906
lasso_regression,22,1.67,1.33,0.8703
linear_regression,22,1.55,1.28,0.8892
random_forest,22,4.64,4.02,-0.0007
ridge_regression,22,1.46,1.25,0.9011
svr,22,1.45,1.22,0.9021
xgboost,22,4.83,3.98,-0.081
