Date,Forecast
2025-05-24,3513.7639002293176
2025-05-25,3522.7500138985833
2025-05-26,3535.0397337481995
2025-05-27,3536.606829724776
2025-05-28,3531.908983784076
2025-05-29,3521.2307195146786
2025-05-30,3518.630929369181
2025-05-31,3516.7273274666472
2025-06-01,3514.7086818075613
2025-06-02,3517.3731262940937
2025-06-03,3523.838999541754
2025-06-04,3530.781521507097
2025-06-05,3533.4272857633946
2025-06-06,3542.5434030736155
2025-06-07,3545.3708992615893
2025-06-08,3542.7990462261796
2025-06-09,3538.7913420088253
2025-06-10,3531.3232024522335
2025-06-11,3524.2361075868926
2025-06-12,3520.372912519575
