Date,LSTM_Forecast
2025-06-25,286.80518530267636
2025-06-26,286.6163623928169
2025-06-27,286.1304081820672
2025-06-28,285.44905748530437
2025-06-29,284.6461946577474
2025-06-30,283.772031635468
2025-07-01,282.8575972069102
2025-07-02,281.92274413793257
2025-07-03,280.9785352762083
2025-07-04,280.0325014690238
2025-07-05,279.0878729169999
2025-07-06,278.1480778768537
2025-07-07,277.2147007973567
2025-07-08,276.28875553709804
2025-07-09,275.371138064133
2025-07-10,274.46291410888534
2025-07-11,273.5642958743156
2025-07-12,272.67664617499213
2025-07-13,271.8006582072526
2025-07-14,270.93663377086295
2025-07-15,270.0862233332937
2025-07-16,269.24992203478587
2025-07-17,268.42871544020045
2025-07-18,267.6227921743912
2025-07-19,266.83260965262843
2025-07-20,266.0589695305407
2025-07-21,265.30214531416595
2025-07-22,264.5626840155801
2025-07-23,263.84019423821155
2025-07-24,263.13575585934814
