Date,LSTM_Forecast
2025-05-24,3464.808331199165
2025-05-25,3456.5312698610796
2025-05-26,3448.2871240311506
2025-05-27,3440.1365934107307
2025-05-28,3432.0945713286055
2025-05-29,3424.1550503916515
2025-05-30,3416.3060158136213
2025-05-31,3408.534201268034
2025-06-01,3400.827591968642
2025-06-02,3393.185311837282
2025-06-03,3385.5948454716126
2025-06-04,3378.0556922555406
2025-06-05,3370.5613441798487
2025-06-06,3363.1120515525836
2025-06-07,3355.703433982926
2025-06-08,3348.3346153927123
2025-06-09,3341.0096007106913
2025-06-10,3333.7288905529567
2025-06-11,3326.492860381579
2025-06-12,3319.304388739096
