Date,Forecast
2025-01-01,3233.6100722398055
2025-01-02,3229.6394577801298
2025-01-03,3233.7326623001377
2025-01-04,3232.2531695766065
2025-01-05,3232.1061253158814
2025-01-06,3229.4817795441854
2025-01-07,3225.634397402372
2025-01-08,3222.777469863922
2025-01-09,3219.87537378658
2025-01-10,3218.0065240154618
2025-01-11,3217.2679014663745
2025-01-12,3217.0245027308747
2025-01-13,3217.2055765310015
2025-01-14,3217.4895715615753
2025-01-15,3217.574229615011
2025-01-16,3217.633063136817
2025-01-17,3217.5769930202237
2025-01-18,3216.909586133726
2025-01-19,3216.6749415826657
2025-01-20,3216.5014386437424
2025-01-21,3216.4945926386154
2025-01-22,3216.704389112084
2025-01-23,3217.0154762518314
2025-01-24,3217.574300151993
2025-01-25,3218.50028583204
2025-01-26,3219.509442736731
2025-01-27,3220.3050812076344
2025-01-28,3220.7966721819266
2025-01-29,3221.0609425784683
2025-01-30,3221.1953695453517
