Model,Samples,RMSE,MAE,R²
elasticnet,21,16.35,14.73,0.7903
lasso_regression,21,6.12,4.7,0.9706
linear_regression,21,4.08,2.97,0.9869
random_forest,21,207.88,204.99,-32.9015
ridge_regression,21,5.73,4.53,0.9742
svr,21,5.37,4.2,0.9774
xgboost,21,211.12,208.43,-33.9675
