Date,Forecasted_Close
2025-05-24,3513.763900229318
2025-05-25,3522.7500138985847
2025-05-26,3535.039733748202
2025-05-27,3536.606829724779
2025-05-28,3531.9089837840784
2025-05-29,3521.230719514681
2025-05-30,3518.630929369183
2025-05-31,3516.727327466649
2025-06-01,3514.708681807563
2025-06-02,3517.3731262940964
2025-06-03,3523.838999541759
2025-06-04,3530.781521507103
2025-06-05,3533.4272857634023
2025-06-06,3542.5434030736233
2025-06-07,3545.370899261597
2025-06-08,3542.7990462261873
2025-06-09,3538.791342008833
2025-06-10,3531.323202452242
2025-06-11,3524.236107586902
2025-06-12,3520.372912519586
