Model,Samples,RMSE,MAE,R²
elasticnet,21,0.87,0.72,0.9972
lasso_regression,21,0.38,0.31,0.9995
linear_regression,21,0.49,0.36,0.9991
random_forest,21,3.63,2.85,0.9515
ridge_regression,21,0.73,0.6,0.9981
svr,21,0.89,0.64,0.9971
xgboost,21,3.84,2.72,0.9456
