Date,LSTM_Forecast
2025-01-01,1069.3250155742132
2025-01-02,1066.3755019861599
2025-01-03,1064.1698108766266
2025-01-04,1062.3699456324991
2025-01-05,1060.7833099022662
2025-01-06,1059.3048016241698
2025-01-07,1057.8805688494683
2025-01-08,1056.484653728712
2025-01-09,1055.1058623174993
2025-01-10,1053.7398985614925
2025-01-11,1052.386157382616
2025-01-12,1051.0449413199074
2025-01-13,1049.7169159592502
2025-01-14,1048.4026258709125
2025-01-15,1047.1024341017398
2025-01-16,1045.816522175155
2025-01-17,1044.5449505989652
2025-01-18,1043.2874773419405
2025-01-19,1042.0439813884657
2025-01-20,1040.814281215118
2025-01-21,1039.5983163140897
2025-01-22,1038.395663130728
2025-01-23,1037.2058981103798
2025-01-24,1036.0288397296224
2025-01-25,1034.8641854494178
2025-01-26,1033.7116327307285
2025-01-27,1032.5710605579388
2025-01-28,1031.4422268998187
2025-01-29,1030.3248292173303
2025-01-30,1029.2186859870508
2025-01-31,1028.1234946699424
2025-02-01,1027.0389527269672
2025-02-02,1025.9650601581252
2025-02-03,1024.9015144243785
2025-02-04,1023.8479524788817
2025-02-05,1022.8043138138272
2025-02-06,1021.7703563979848
2025-02-07,1020.7458987079316
2025-02-08,1019.7306987124374
2025-02-09,1018.724635395887
2025-02-10,1017.7274667270502
2025-02-11,1016.7391321981194
2025-02-12,1015.759268762249
2025-02-13,1014.7878159116316
2025-02-14,1013.8246526306519
2025-02-15,1012.8696579036949
2025-02-16,1011.9224686839151
2025-02-17,1010.9830849713125
2025-02-18,1010.0513252424643
2025-02-19,1009.1270684817554
