Model,Samples,RMSE,MAE,R²
elasticnet,22,2.58,1.95,0.9685
lasso_regression,22,1.99,1.58,0.9813
linear_regression,22,1.99,1.57,0.9812
random_forest,22,35.55,33.06,-4.9844
ridge_regression,22,1.92,1.62,0.9826
svr,22,1.83,1.47,0.9842
xgboost,22,35.62,33.22,-5.0096
