Date,Forecast
2025-01-01,464.47425761663226
2025-01-02,463.53485432054845
2025-01-03,463.5620810494097
2025-01-04,462.20500049374004
2025-01-05,462.34716676724446
2025-01-06,462.59709433071146
2025-01-07,462.70674025214333
2025-01-08,463.28830418627024
2025-01-09,463.6657197824121
2025-01-10,463.6526670469585
2025-01-11,463.24751517305674
2025-01-12,462.94351091274063
2025-01-13,462.5277849636651
2025-01-14,462.3577138140248
2025-01-15,461.4922685814545
2025-01-16,461.26864302303625
2025-01-17,461.2219316468726
2025-01-18,461.1606873916776
2025-01-19,461.4567478853605
2025-01-20,461.610064887951
2025-01-21,461.5997134752875
2025-01-22,461.50836809725695
2025-01-23,461.0644793940986
2025-01-24,460.4959832543251
2025-01-25,460.0825507186985
2025-01-26,459.8221265062218
2025-01-27,459.72694715397006
2025-01-28,459.7653578592749
2025-01-29,459.8594275208526
2025-01-30,460.0727770915517
