Date,LSTM_Forecast
2025-01-01,1310.1046236883465
2025-01-02,1308.6841927530238
2025-01-03,1308.1322272073683
2025-01-04,1308.1292573696899
2025-01-05,1308.4811124241585
2025-01-06,1309.056129567032
2025-01-07,1309.7654965096424
2025-01-08,1310.5526449152583
2025-01-09,1311.3820781525808
2025-01-10,1312.233997303754
2025-01-11,1313.0953916513297
2025-01-12,1313.9589073115328
2025-01-13,1314.8204430799503
2025-01-14,1315.6791504315313
2025-01-15,1316.5316352660718
2025-01-16,1317.3780390044137
2025-01-17,1318.2190687507662
2025-01-18,1319.05401740092
2025-01-19,1319.8833092174007
2025-01-20,1320.707934146101
2025-01-21,1321.5269022411283
2025-01-22,1322.3393649774314
2025-01-23,1323.1450395133268
2025-01-24,1323.9432187446052
2025-01-25,1324.7367310881034
2025-01-26,1325.5255765438212
2025-01-27,1326.3093308492332
2025-01-28,1327.0877111626558
2025-01-29,1327.861424588298
2025-01-30,1328.6287740760579
2025-01-31,1329.3899010467774
2025-02-01,1330.1479167589766
2025-02-02,1330.9002756375028
2025-02-03,1331.6469776823558
2025-02-04,1332.3883057352193
2025-02-05,1333.1242597960934
2025-02-06,1333.8546984441361
2025-02-07,1334.5799045210313
2025-02-08,1335.299595185095
2025-02-09,1336.0140532780113
2025-02-10,1336.7229959580961
2025-02-11,1337.4267060670334
2025-02-12,1338.1250421839811
2025-02-13,1338.8178628880976
2025-02-14,1339.5054510210664
2025-02-15,1340.1879480037294
2025-02-16,1340.8646467318774
2025-02-17,1341.5362543097197
2025-02-18,1342.2026293164142
2025-02-19,1342.8636303311193
