Date,Forecast
2025-01-01,464.63159012805227
2025-01-02,463.71261871353653
2025-01-03,463.5080173906622
2025-01-04,462.83890031167584
2025-01-05,462.8783473802448
2025-01-06,462.9678796347115
2025-01-07,463.0130489148817
2025-01-08,463.18243881129433
2025-01-09,463.2943309361732
2025-01-10,463.2395562400115
2025-01-11,463.05517980284503
2025-01-12,462.9838285150689
2025-01-13,462.87581333390335
2025-01-14,462.88726502312204
2025-01-15,462.43054306057695
2025-01-16,462.32049139979335
2025-01-17,462.31409255694007
2025-01-18,462.31728592630714
2025-01-19,462.4478476725969
2025-01-20,462.5334458922171
2025-01-21,462.5626289398152
2025-01-22,462.5644944080628
2025-01-23,462.4719607218965
2025-01-24,462.3451031152902
2025-01-25,462.27230461786525
2025-01-26,462.25266803145223
2025-01-27,462.257489690762
2025-01-28,462.2904799700136
2025-01-29,462.32212836273254
2025-01-30,462.51114123115025
