Date,Forecasted_Close
2025-06-25,303.5388974086143
2025-06-26,303.0191435440547
2025-06-27,302.35226538492367
2025-06-28,301.0680910787541
2025-06-29,300.1718148787928
2025-06-30,300.01792180769655
2025-07-01,300.6330713342252
2025-07-02,301.76998981845236
2025-07-03,302.72167856170296
2025-07-04,303.71614485743197
2025-07-05,304.33330674676523
2025-07-06,304.78174032728333
2025-07-07,304.67544309517297
2025-07-08,304.5787427856352
2025-07-09,304.1209435021554
2025-07-10,303.4643671379026
2025-07-11,303.1603580262394
2025-07-12,303.19285644026206
2025-07-13,303.6144456416657
2025-07-14,304.26770769652154
2025-07-15,304.7716729004058
2025-07-16,304.98276100991654
2025-07-17,304.8996107380473
2025-07-18,304.5805585867968
2025-07-19,304.00748185346816
2025-07-20,303.28495650920263
2025-07-21,302.5554361814004
2025-07-22,302.0696591936788
2025-07-23,301.81193804516795
2025-07-24,301.75552522650787
