Date,LSTM_Forecast
2025-01-01,812.3550416228245
2025-01-02,810.6162576756433
2025-01-03,811.1337219980105
2025-01-04,813.0474852326133
2025-01-05,815.7568448282855
2025-01-06,818.8836486165583
2025-01-07,822.2037799039772
2025-01-08,825.5900095053403
2025-01-09,828.9741357751154
2025-01-10,832.3222816492162
2025-01-11,835.6188735235446
2025-01-12,838.8569301272983
2025-01-13,842.0348851497201
2025-01-14,845.1527385908103
2025-01-15,848.2112512300791
2025-01-16,851.2107810814141
2025-01-17,854.1512833930792
2025-01-18,857.0333846893773
2025-01-19,859.8571297220442
2025-01-20,862.6218472150413
2025-01-21,865.3279846857276
2025-01-22,867.9754973823674
2025-01-23,870.5642510497528
2025-01-24,873.0942009361479
2025-01-25,875.5656155519682
2025-01-26,877.9777341177032
2025-01-27,880.3313174128634
2025-01-28,882.6263206857129
2025-01-29,884.8634599640263
2025-01-30,887.043048509955
2025-01-31,889.1649520682913
2025-02-01,891.2290811355633
2025-02-02,893.2373600364153
2025-02-03,895.1901467847347
2025-02-04,897.088157408296
2025-02-05,898.9321079348738
2025-02-06,900.7227143922428
2025-02-07,902.4608718151212
2025-02-08,904.1473857347555
2025-02-09,905.783151185864
2025-02-10,907.3692422101085
2025-02-11,908.9062853317919
2025-02-12,910.3955335995197
2025-02-13,911.837971551482
2025-02-14,913.2344047189254
2025-02-15,914.5860861504552
2025-02-16,915.8939108807899
2025-02-17,917.1588634481195
2025-02-18,918.3821073975778
2025-02-19,919.5646272673548
