Date,Forecast
2025-01-01,773.3937246786791
2025-01-02,772.7749560293771
2025-01-03,772.2437125487048
2025-01-04,768.7189924774843
2025-01-05,767.6761136649151
2025-01-06,765.5998629631334
2025-01-07,763.8316013148385
2025-01-08,762.3530109087162
2025-01-09,761.3084163603424
2025-01-10,760.1057067369569
2025-01-11,759.3205605394112
2025-01-12,758.6659400803
2025-01-13,758.3011578836063
2025-01-14,758.2235358850055
2025-01-15,756.6217410990375
2025-01-16,755.7923592757345
2025-01-17,754.9979837733044
2025-01-18,754.3252066897298
2025-01-19,754.0471116066806
2025-01-20,753.8019142935661
2025-01-21,753.6574232694143
2025-01-22,753.5484724074638
2025-01-23,753.4020210404474
2025-01-24,753.2395697829825
2025-01-25,753.0230336232933
2025-01-26,752.8332007499505
2025-01-27,752.6753710742964
2025-01-28,752.5630912136603
2025-01-29,752.5074784836058
2025-01-30,752.4814640431882
2025-01-31,752.4751782294031
2025-02-01,752.4741059102106
2025-02-02,752.4674782576637
2025-02-03,752.4559295399224
2025-02-04,752.4405476826319
2025-02-05,752.4279377383257
2025-02-06,752.4225573935948
2025-02-07,752.4266637554534
2025-02-08,752.4688956354652
2025-02-09,752.8795273223307
2025-02-10,755.6643241762109
2025-02-11,759.2524863176578
2025-02-12,761.6834345735707
2025-02-13,763.5644625328341
2025-02-14,764.5694159345439
2025-02-15,764.9780384106243
2025-02-16,765.2310322874243
2025-02-17,765.418328968793
2025-02-18,765.7090254575928
2025-02-19,766.1223503107285
