Date,Forecast
2025-06-25,301.83457188817897
2025-06-26,301.6816672087588
2025-06-27,301.3308999786924
2025-06-28,300.9674828910422
2025-06-29,300.57072947340026
2025-06-30,300.3008131070922
2025-07-01,300.1761956782008
2025-07-02,300.22320544438145
2025-07-03,300.30356181445023
2025-07-04,300.4532484744123
2025-07-05,300.57565023760196
2025-07-06,300.68657342966134
2025-07-07,300.75422681354104
2025-07-08,300.81161631766463
2025-07-09,300.79851054357675
2025-07-10,300.7431734473344
2025-07-11,300.69644493378723
2025-07-12,300.6696844882312
2025-07-13,300.66436655708526
2025-07-14,300.68424590537995
2025-07-15,300.72663999472877
2025-07-16,300.7782156131293
2025-07-17,300.8178643202992
2025-07-18,300.84431756895947
2025-07-19,300.8565366597495
2025-07-20,300.8561878859117
2025-07-21,300.84351087081103
2025-07-22,300.8203648260349
2025-07-23,300.78707512232836
2025-07-24,300.7577723939855
