Date,Forecast
2025-01-01,1061.3302956186672
2025-01-02,1057.2358965727333
2025-01-03,1054.692552357216
2025-01-04,1052.4641334476773
2025-01-05,1051.0418968009249
2025-01-06,1050.2563312832885
2025-01-07,1049.6011109603119
2025-01-08,1049.108320307268
2025-01-09,1049.3846993405868
2025-01-10,1047.4248683769142
2025-01-11,1046.3108088169206
2025-01-12,1045.3914169239315
2025-01-13,1044.3529639232538
2025-01-14,1043.9575847809797
2025-01-15,1043.736234072956
2025-01-16,1043.6559081984124
2025-01-17,1043.7183557117787
2025-01-18,1043.8176033985462
2025-01-19,1044.0070126330331
2025-01-20,1044.3422695467698
2025-01-21,1044.9537287557348
2025-01-22,1046.0518779216466
2025-01-23,1047.7881306882286
2025-01-24,1049.7528349756265
2025-01-25,1052.8553995447407
2025-01-26,1056.0880980488182
2025-01-27,1058.921980435256
2025-01-28,1061.4094135680148
2025-01-29,1063.0610777889879
2025-01-30,1064.184269776535
2025-01-31,1064.184269776535
2025-02-01,1064.184269776535
2025-02-02,1064.184269776535
2025-02-03,1064.184269776535
2025-02-04,1064.184269776535
2025-02-05,1064.184269776535
2025-02-06,1064.184269776535
2025-02-07,1064.184269776535
2025-02-08,1064.184269776535
2025-02-09,1064.184269776535
2025-02-10,1064.184269776535
2025-02-11,1064.184269776535
2025-02-12,1064.184269776535
2025-02-13,1064.184269776535
2025-02-14,1064.184269776535
2025-02-15,1064.184269776535
2025-02-16,1064.184269776535
2025-02-17,1064.184269776535
2025-02-18,1064.184269776535
2025-02-19,1064.184269776535
