Date,Forecast
2025-01-01,1064.9449102740075
2025-01-02,1063.1880320410603
2025-01-03,1062.6008851044944
2025-01-04,1061.8324507618474
2025-01-05,1061.155835207513
2025-01-06,1060.6570551329412
2025-01-07,1060.2219813107633
2025-01-08,1059.909169600695
2025-01-09,1060.0596963293947
2025-01-10,1059.4136964922245
2025-01-11,1059.173238600189
2025-01-12,1058.895714862384
2025-01-13,1058.5903631339602
2025-01-14,1058.431622982076
2025-01-15,1058.339787663418
2025-01-16,1058.174220347641
2025-01-17,1058.104693724759
2025-01-18,1058.0418954095853
2025-01-19,1058.0151018922854
2025-01-20,1058.0150655326286
2025-01-21,1058.0352353030964
2025-01-22,1058.0973304784243
2025-01-23,1058.2326797389892
2025-01-24,1058.3066279616744
2025-01-25,1058.590623431025
2025-01-26,1059.1700872601598
2025-01-27,1060.1448263696652
2025-01-28,1061.3518145418645
2025-01-29,1062.4629689221642
2025-01-30,1063.4333256216275
2025-01-31,1064.2863463698054
2025-02-01,1064.969461571399
2025-02-02,1065.5373403635858
2025-02-03,1065.996648152388
2025-02-04,1065.996648152388
2025-02-05,1065.996648152388
2025-02-06,1065.996648152388
2025-02-07,1065.996648152388
2025-02-08,1065.996648152388
2025-02-09,1065.996648152388
2025-02-10,1065.996648152388
2025-02-11,1065.996648152388
2025-02-12,1065.996648152388
2025-02-13,1065.996648152388
2025-02-14,1065.996648152388
2025-02-15,1065.996648152388
2025-02-16,1065.996648152388
2025-02-17,1065.996648152388
2025-02-18,1065.996648152388
2025-02-19,1065.996648152388
