Date,Forecast
2025-01-01,3375.6848461914065
2025-01-02,3382.8982397460936
2025-01-03,3467.38927734375
2025-01-04,3473.1987719726562
2025-01-05,3466.374599609375
2025-01-06,3464.788293457031
2025-01-07,3466.7593359375
2025-01-08,3470.08345703125
2025-01-09,3470.546943359375
2025-01-10,3471.793366699219
2025-01-11,3477.8375952148435
2025-01-12,3482.0523046875
2025-01-13,3484.3084228515627
2025-01-14,3484.121037597656
2025-01-15,3485.375432128906
2025-01-16,3487.455625
2025-01-17,3487.7317211914065
2025-01-18,3487.3853540039063
2025-01-19,3486.830168457031
2025-01-20,3486.8486083984376
2025-01-21,3486.8486083984376
2025-01-22,3486.8486083984376
2025-01-23,3487.4979809570314
2025-01-24,3487.6141015625
2025-01-25,3487.6141015625
2025-01-26,3487.5996508789062
2025-01-27,3487.570744628906
2025-01-28,3487.570744628906
2025-01-29,3487.570744628906
2025-01-30,3487.570744628906
