Date,LSTM_Forecast
2025-01-01,1960.5371189977595
2025-01-02,1964.5269020089472
2025-01-03,1972.1759721092822
2025-01-04,1982.2308870771521
2025-01-05,1993.773821527153
2025-01-06,2006.161903773027
2025-01-07,2018.9616287346726
2025-01-08,2031.8948913811473
2025-01-09,2044.7909289207892
2025-01-10,2057.5457474043505
2025-01-11,2070.0998654441937
2025-01-12,2082.4223605970765
2025-01-13,2094.4960974963615
2025-01-14,2106.3124099796114
2025-01-15,2117.8667680073704
2025-01-16,2129.157595913741
2025-01-17,2140.180560617504
2025-01-18,2150.934874285711
2025-01-19,2161.41856733599
2025-01-20,2171.6288823530194
2025-01-21,2181.5658193368
2025-01-22,2191.2279995796707
2025-01-23,2200.614438290446
2025-01-24,2209.7263172185485
2025-01-25,2218.5634394057415
2025-01-26,2227.1263957267365
2025-01-27,2235.4163679309568
2025-01-28,2243.4349316843
2025-01-29,2251.184844402087
2025-01-30,2258.6676817502157
2025-01-31,2265.8875798516674
2025-02-01,2272.847099163526
2025-02-02,2279.551754516433
2025-02-03,2286.006469866319
2025-02-04,2292.216563085589
2025-02-05,2298.186367255461
2025-02-06,2303.9225789560005
2025-02-07,2309.4305160596123
2025-02-08,2314.715693396938
2025-02-09,2319.7842166733317
2025-02-10,2324.642585510621
2025-02-11,2329.2963147394476
2025-02-12,2333.752297898114
2025-02-13,2338.0166406919743
2025-02-14,2342.0952518681443
2025-02-15,2345.994828006689
2025-02-16,2349.720883938251
2025-02-17,2353.2807071176067
2025-02-18,2356.6794184589235
2025-02-19,2359.923123667555
