Date,Forecast
2025-01-01,1784.6581303851472
2025-01-02,1786.9142740774735
2025-01-03,1791.7540112102133
2025-01-04,1795.149182322269
2025-01-05,1795.2952351926413
2025-01-06,1795.0709270582252
2025-01-07,1794.0845859745523
2025-01-08,1793.205577147935
2025-01-09,1792.881042675708
2025-01-10,1792.5062157979173
2025-01-11,1792.8638010375378
2025-01-12,1793.5790084321377
2025-01-13,1793.9179070759963
2025-01-14,1795.301004190394
2025-01-15,1796.4962016874117
2025-01-16,1796.902011154877
2025-01-17,1797.1458654627472
2025-01-18,1796.894309825916
2025-01-19,1796.2136676041573
2025-01-20,1795.6893737527125
2025-01-21,1795.3599547893627
2025-01-22,1795.4280631773736
2025-01-23,1795.8869041093258
2025-01-24,1796.4484178921202
2025-01-25,1797.0613965258397
2025-01-26,1797.447701144883
2025-01-27,1797.5810715017544
2025-01-28,1797.5610124242253
2025-01-29,1797.2586794151462
2025-01-30,1796.6642439714087
2025-01-31,1796.0012215013785
2025-02-01,1795.371347722633
2025-02-02,1794.9830554987948
2025-02-03,1794.916811759359
2025-02-04,1795.0744755493306
2025-02-05,1795.3759331506715
2025-02-06,1795.626140168054
2025-02-07,1795.6376986609075
2025-02-08,1795.3263498114068
2025-02-09,1794.6254390955546
2025-02-10,1793.7593768682264
2025-02-11,1793.0393555874555
2025-02-12,1792.5788077790125
2025-02-13,1792.377179422567
2025-02-14,1792.3843028929662
2025-02-15,1792.5044199800523
2025-02-16,1792.7136842916289
2025-02-17,1792.9582597792887
2025-02-18,1793.1451680581795
2025-02-19,1793.1563191987457
