Date,Forecast
2025-01-01,3281.2213493651443
2025-01-02,3295.9683835518717
2025-01-03,3313.015645117335
2025-01-04,3318.9076915814435
2025-01-05,3317.802252407456
2025-01-06,3312.6122629809106
2025-01-07,3304.904047157907
2025-01-08,3300.7121749478742
2025-01-09,3298.064541286783
2025-01-10,3294.7852773598406
2025-01-11,3297.6015821001592
2025-01-12,3302.8146406762
2025-01-13,3308.326314252653
2025-01-14,3320.8810979241975
2025-01-15,3328.9305601250608
2025-01-16,3331.377626053528
2025-01-17,3331.2404122882344
2025-01-18,3326.9708508567537
2025-01-19,3321.3772565802474
2025-01-20,3317.2922348994966
2025-01-21,3315.9196044600817
2025-01-22,3318.2999061396104
2025-01-23,3322.981748701639
2025-01-24,3328.5496470656026
2025-01-25,3334.234989883962
2025-01-26,3337.4083870445666
2025-01-27,3338.2717022133834
2025-01-28,3337.3351117224893
2025-01-29,3333.329661555726
2025-01-30,3326.842078036785
