Date,LSTM_Forecast
2025-01-01,1791.3989439628058
2025-01-02,1788.6703820242328
2025-01-03,1786.8930642123814
2025-01-04,1785.7308404395662
2025-01-05,1784.9428472571308
2025-01-06,1784.3693343948034
2025-01-07,1783.9134783322806
2025-01-08,1783.5175606394696
2025-01-09,1783.1509290731701
2025-01-10,1782.7979586737565
2025-01-11,1782.4518188577858
2025-01-12,1782.110118921053
2025-01-13,1781.7726880989721
2025-01-14,1781.4409778905247
2025-01-15,1781.115927500934
2025-01-16,1780.7983053708376
2025-01-17,1780.4884530294075
2025-01-18,1780.186626623523
2025-01-19,1779.8931676823559
2025-01-20,1779.6074785298551
2025-01-21,1779.329986077486
2025-01-22,1779.0608610898344
2025-01-23,1778.7996766554352
2025-01-24,1778.5459204805302
2025-01-25,1778.2996779474124
2025-01-26,1778.0593267925142
2025-01-27,1777.8258062210589
2025-01-28,1777.5989454684604
2025-01-29,1777.3780614763746
2025-01-30,1777.1639226854386
2025-01-31,1776.9556752727221
2025-02-01,1776.752721562174
2025-02-02,1776.5555738475523
2025-02-03,1776.363805217392
2025-02-04,1776.1773302893998
2025-02-05,1775.996063681283
2025-02-06,1775.8199200107483
2025-02-07,1775.6484723663307
2025-02-08,1775.48172074803
2025-02-09,1775.3197505381395
2025-02-10,1775.1619640606077
2025-02-11,1775.0087882269
2025-02-12,1774.859796125551
2025-02-13,1774.7149023742677
2025-02-14,1774.573850826171
2025-02-15,1774.4367268635542
2025-02-16,1774.303530486417
2025-02-17,1774.1738347832943
2025-02-18,1774.047639754186
2025-02-19,1773.9249453990924
