Date,Forecast
2025-01-01,1774.2695595053115
2025-01-02,1773.3006744322129
2025-01-03,1773.6276614674111
2025-01-04,1773.7739898765371
2025-01-05,1773.8706994331596
2025-01-06,1773.8238783620543
2025-01-07,1773.6517250701695
2025-01-08,1773.4237336395595
2025-01-09,1773.0147310238176
2025-01-10,1772.8916847147116
2025-01-11,1772.7384555785761
2025-01-12,1772.6118532419287
2025-01-13,1772.634918346323
2025-01-14,1772.5425582089847
2025-01-15,1772.364882064417
2025-01-16,1772.406602059237
2025-01-17,1772.3318866407644
2025-01-18,1772.3775513276096
2025-01-19,1772.4191641522461
2025-01-20,1772.4679638281366
2025-01-21,1772.4931016942044
2025-01-22,1772.5043835848005
2025-01-23,1772.5020690943254
2025-01-24,1772.4663666542356
2025-01-25,1772.4372300251398
2025-01-26,1772.3945432474868
2025-01-27,1772.348824007424
2025-01-28,1772.344712100155
2025-01-29,1772.3138787764412
2025-01-30,1772.242687528932
2025-01-31,1772.2629210215625
2025-02-01,1772.2132587041826
2025-02-02,1772.2519863498273
2025-02-03,1772.2689788441326
2025-02-04,1772.316204593823
2025-02-05,1772.3282383515352
2025-02-06,1772.3445810975543
2025-02-07,1772.3428159656041
2025-02-08,1772.33109749408
2025-02-09,1772.3177499849457
2025-02-10,1772.2935426069066
2025-02-11,1772.2660842474638
2025-02-12,1772.262736744629
2025-02-13,1772.2397444586254
2025-02-14,1772.1911221818787
2025-02-15,1772.2196182303055
2025-02-16,1772.1594599217638
2025-02-17,1772.2178481364924
2025-02-18,1772.199108033023
2025-02-19,1772.2572642116747
