Date,Forecast
2025-05-24,3491.7154125976563
2025-05-25,3490.20974609375
2025-05-26,3489.6852221679687
2025-05-27,3488.8623364257815
2025-05-28,3488.026403808594
2025-05-29,3485.339541015625
2025-05-30,3486.0510327148436
2025-05-31,3486.8394750976563
2025-06-01,3485.2431494140624
2025-06-02,3486.388581542969
2025-06-03,3486.671560058594
2025-06-04,3487.0477856445314
2025-06-05,3486.671560058594
2025-06-06,3486.371638183594
2025-06-07,3487.0477856445314
2025-06-08,3485.4935791015623
2025-06-09,3485.4935791015623
2025-06-10,3485.4935791015623
2025-06-11,3485.2431494140624
2025-06-12,3485.2431494140624
