Date,Close,High,Low,Open,Volume,Daily Returns,Price Range,Range %,MA5,MA10,MA20,MA50,MA100,StdDev5,StdDev10,Lag_1,Lag_2,Cumulative Return,Day,Month,Weekday
2015-05-29,194.88690185546875,196.98687983975378,194.02023909451887,195.53133616883218,29277517,0.0013702474026884293,2.966640745234912,0.015172201056680532,196.31798706054687,198.0813003540039,196.6143943786621,192.58327362060547,192.87586029052736,1.6739356735568856,2.3992703223083396,194.62022399902344,196.73130798339844,1.000168442227331,29,5,4
2015-06-01,200.4979248046875,201.08682049248046,195.1090968497521,195.55353886849224,19594976,0.02879117527036268,5.977723642728364,0.030568220229184,196.66242370605468,198.3190719604492,196.86312026977538,192.83243225097655,192.93229873657228,2.3476787378173176,2.518414166370759,194.88690185546875,194.62022399902344,1.0289644671473837,1,6,0
2015-06-02,199.69793701171875,204.1756594796548,198.09795467692518,201.27569798772427,20178960,-0.003990005351666603,6.077704802729613,0.03019591964401132,197.28685913085937,198.3879608154297,197.05867767333984,193.01379943847655,192.98589447021484,2.706640640937302,2.548625636909819,200.4979248046875,194.88690185546875,1.0248588934167908,2,6,1
2015-06-03,199.18685913085938,202.32016016776444,197.44243771692965,199.7757400561475,15546279,-0.0025592546848862696,4.877722450834796,0.024415989896790766,197.77796936035156,198.11018829345704,197.35925827026367,193.23980895996092,193.05566665649414,2.801741907799925,2.2492927431765155,199.69793701171875,200.4979248046875,1.0222360184924666,3,6,2
2015-06-04,202.82012939453125,203.59789179559894,198.34239203806862,200.9312545384813,15931395,0.018240511846642216,5.255499757530316,0.026155710666325483,199.41795043945314,198.46462860107422,197.94574279785155,193.54748138427735,193.24900512695314,2.8897821378056943,2.6895403897323606,199.18685913085938,199.69793701171875,1.0408821266978427,4,6,3
2015-06-05,201.7201385498047,203.76456287970487,200.98680404702608,202.19791259433686,13066337,-0.005423479651700758,2.777758832678785,0.013737821508828891,200.78459777832032,198.5512924194336,198.14629592895508,193.88648162841798,193.39140228271484,1.4861365429173041,2.7872562796075293,202.82012939453125,199.18685913085938,1.035236923663878,5,6,4
2015-06-08,196.7646484375,202.22015574286024,196.24243161944005,201.50904252208542,10846953,-0.024566164528392775,5.977724123420188,0.02966479344352514,200.0379425048828,198.35018310546874,198.029630279541,194.1000375366211,193.51112808227538,2.3518475779143726,2.841291722009775,201.7201385498047,202.82012939453125,1.0098051230712841,8,6,0
2015-06-09,196.37576293945312,197.92017710673105,194.96466209636455,196.34241606588267,9153355,-0.0019763992217860515,2.955515010366497,0.015052860556502342,199.37350769042968,198.33018341064454,198.19629516601563,194.3192025756836,193.58691452026366,2.881550599926583,2.8558362309938925,196.7646484375,201.7201385498047,1.0078093450118906,9,6,1
2015-06-10,201.2868194580078,202.19792488519775,196.66464307613887,196.8868566759322,13509379,0.025008465632639476,5.533281809058877,0.028103865857163006,199.7934997558594,198.78573455810547,198.42629318237306,194.70505859375,193.73375717163086,2.998220013599434,2.934701022241399,196.37576293945312,196.7646484375,1.0330131103808733,10,6,2
2015-06-11,194.92022705078125,202.10904487343018,194.14244976257814,201.33126758522707,14676438,-0.031629455045141475,7.96659511085204,0.039569587011513946,198.21351928710936,198.81573486328125,198.41462783813478,195.04083099365235,193.83262481689454,3.084797460126347,2.8885579004400546,201.2868194580078,196.37576293945312,1.0003394686450398,11,6,3
2015-06-12,197.74241638183594,198.37573999985855,195.16466435404183,195.33133939437775,21543824,0.014478688916771176,3.2110756458167202,0.016439121626732393,197.41797485351563,199.10128631591797,198.59129333496094,195.4372171020508,193.9777096557617,2.3887761534282066,2.581876753579262,194.92022705078125,201.2868194580078,1.0148230726227194,12,6,4
